LabelName,DisplayName,wikidata,aat,iconclass
/m/01qcyb,Kalaripayattu,https://www.wikidata.org/entity/Q841285,,
/m/01qd72,Malus,https://www.wikidata.org/entity/Q89,http://vocab.getty.edu/page/aat/300266417,http://www.iconclass.org/rkd/25G21(APPLE)/
/m/01qdbn,Bicycle pedal,https://www.wikidata.org/entity/Q305026,,
/m/01qdq2,Smoking cessation,https://www.wikidata.org/entity/Q2462253,,
/m/01qdtc,Bluebonnet,https://www.wikidata.org/entity/Q4930263,,
/m/01qf18,Tahini,https://www.wikidata.org/entity/Q383389,,
/m/01qf88,Gumbo,https://www.wikidata.org/entity/Q1160522,,
/m/01qfcj,Peanut butter,https://www.wikidata.org/entity/Q147651,,
/m/01qfdq,Roux,https://www.wikidata.org/entity/Q746427,,
/m/01qfl8,Fenugreek,https://www.wikidata.org/entity/Q133205,,
/m/01qh13,Toyota land cruiser,,,
/m/01qhp_,Racquet sport,,,
/m/01qj63,Badger,https://www.wikidata.org/entity/Q638105,http://vocab.getty.edu/page/aat/300310568,
/m/01qk4t,Conch (Shell),,,
/m/01qk7d,Educational software,https://www.wikidata.org/entity/Q1074158,,
/m/01qkbx,Professional,https://www.wikidata.org/entity/Q702269,http://vocab.getty.edu/page/aat/300025907,
/m/01qkg,Calf (Cattle),https://www.wikidata.org/entity/Q2935,http://vocab.getty.edu/page/aat/300310537,http://www.iconclass.org/rkd/47I2113/
/m/01qkxh,Cynthia (subgenus),https://www.wikidata.org/entity/Q1418042,,
/m/01qkzk,Vanessa atalanta,https://www.wikidata.org/entity/Q7305262,,
/m/01qlmc,Brush-footed butterfly,https://www.wikidata.org/entity/Q156449,,
/m/01qls,Community,https://www.wikidata.org/entity/Q177634,,
/m/01qls8,Arctic hare,https://www.wikidata.org/entity/Q231625,,
/m/01qmr4,Saab 9-3,,,
/m/01qn1p,English shepherd,https://www.wikidata.org/entity/Q37830,,
/m/01qnhf,Aglais io,https://www.wikidata.org/entity/Q6502733,,
/m/01qnpw,Truffle,https://www.wikidata.org/entity/Q2690965,,
/m/01qnxs,Seaplane,https://www.wikidata.org/entity/Q115940,http://vocab.getty.edu/page/aat/300212986,
/m/01qp5w,Volkswagen jetta,,,
/m/01qp69,Dry suit,https://www.wikidata.org/entity/Q2340412,,
/m/01qpb2,Sazerac,https://www.wikidata.org/entity/Q921623,,
/m/01qpbt,Bitters,https://www.wikidata.org/entity/Q753069,,
/m/01qpj4,Small tortoiseshell,https://www.wikidata.org/entity/Q157609,,
/m/01qpsq,Polecat,https://www.wikidata.org/entity/Q26582,http://vocab.getty.edu/page/aat/300387437,
/m/01qq3s,Fajita,https://www.wikidata.org/entity/Q871272,,
/m/01qqbj,Food storage,https://www.wikidata.org/entity/Q11702361,,
/m/01qr0m,Chicken fried steak,https://www.wikidata.org/entity/Q5096304,,
/m/01qr50,Mud,https://www.wikidata.org/entity/Q170449,http://vocab.getty.edu/page/aat/300014337,
/m/01qrm,Nepeta,,,
/m/01qrmb,Green-veined white,https://www.wikidata.org/entity/Q683592,,
/m/01qrmr,Pieridae,https://www.wikidata.org/entity/Q41559,,
/m/01qrt3,Pupa,https://www.wikidata.org/entity/Q170595,,
/m/01qrvs,Brazil nut,https://www.wikidata.org/entity/Q81671,,
/m/01qs2,Cumin,https://www.wikidata.org/entity/Q132624,,
/m/01qs76,N-gage,https://www.wikidata.org/entity/Q6951368,,
/m/01qt6f,Sidecar (Drink),https://www.wikidata.org/entity/Q1051405,,
/m/01qt74,Sidecar (Vehicle),https://www.wikidata.org/entity/Q1051405,,
/m/01qt7l,Consolidated pby catalina,https://www.wikidata.org/entity/Q648864,,
/m/01qt9r,Maraschino,https://www.wikidata.org/entity/Q1892360,,
/m/01qtdl,"Datsun 1500, 1600, 2000 roadster",,,
/m/01qvff,Tempeh,https://www.wikidata.org/entity/Q120096,,
/m/01qw6w,Cutworms,https://www.wikidata.org/entity/Q459180,,
/m/01qwn0,Kacapi,https://www.wikidata.org/entity/Q1823485,,
/m/01qwsw,Flat panel display,https://www.wikidata.org/entity/Q125171,,
/m/01qx81,Gyokuro,https://www.wikidata.org/entity/Q1424874,,
/m/01qxvh,Romance novel,https://www.wikidata.org/entity/Q858330,,
/m/01qy44,Sepak takraw,https://www.wikidata.org/entity/Q188818,,
/m/01qyp,Caryophyllales,https://www.wikidata.org/entity/Q21808,http://vocab.getty.edu/page/aat/300375562,
/m/01qzby,Seaside resort,,,
/m/01qzzt,Grains of paradise,https://www.wikidata.org/entity/Q1503476,,
/m/01r07z,Blessed sacrament,https://www.wikidata.org/entity/Q3949465,,
/m/01r0_7,Roe,https://www.wikidata.org/entity/Q219426,,
/m/01r0j5,Sunscreen,https://www.wikidata.org/entity/Q827658,,
/m/01r1wt,Quince,https://www.wikidata.org/entity/Q43300,,http://www.iconclass.org/rkd/25G3(QUINCE-TREE)/
/m/01r1z5,Asian food,https://www.wikidata.org/entity/Q728206,,
/m/01r22b,Fried egg,https://www.wikidata.org/entity/Q274151,,
/m/01r24t,Barbecue grill,,,
/m/01r2fb,Inflatable,https://www.wikidata.org/entity/Q2162595,,
/m/01r2v1,Sukiyaki,https://www.wikidata.org/entity/Q862569,,
/m/01r3kd,Girl scouts of the usa,https://www.wikidata.org/entity/Q2576280,,
/m/01r3xn,Shoal,https://www.wikidata.org/entity/Q28337,http://vocab.getty.edu/page/aat/300387036,http://www.iconclass.org/rkd/25H1331/
/m/01r546,Earrings,https://www.wikidata.org/entity/Q168456,http://vocab.getty.edu/page/aat/300045998,http://www.iconclass.org/rkd/41D2663/
/m/01r5gt,Podiatrist,https://www.wikidata.org/entity/Q3393065,,
/m/01r6kf,Linseed oil,https://www.wikidata.org/entity/Q818405,http://vocab.getty.edu/page/aat/300014292,
/m/01r8g,Caving,https://www.wikidata.org/entity/Q200341,,
/m/01r8w,Cave,https://www.wikidata.org/entity/Q35509,http://vocab.getty.edu/page/aat/300008746,
/m/01r9p8,Balun,https://www.wikidata.org/entity/Q805838,,
/m/01r9v,Computer program,https://www.wikidata.org/entity/Q40056,,
/m/01r9wv,Impala,https://www.wikidata.org/entity/Q132576,,
/m/01r_2c,Elvis impersonator,https://www.wikidata.org/entity/Q2301743,,
/m/01r_dp,Scrapple,https://www.wikidata.org/entity/Q5366160,,
/m/01r_pn,Race track,https://www.wikidata.org/entity/Q1777138,http://vocab.getty.edu/page/aat/300000593,http://www.iconclass.org/rkd/43C21213/
/m/01rb05,Mercury comet,,,
/m/01rb6t,Chrysanths,https://www.wikidata.org/entity/Q59882,http://vocab.getty.edu/page/aat/300379959,
/m/01rcl8,Domesticated turkey,,,
/m/01rcy5,Bottlenose dolphin,https://www.wikidata.org/entity/Q149069,,
/m/01rd5z,Aisle,https://www.wikidata.org/entity/Q939723,http://vocab.getty.edu/page/aat/300004284,
/m/01rd7k,Wild turkey,https://www.wikidata.org/entity/Q26844,,
/m/01rdr1,Spit,https://www.wikidata.org/entity/Q404808,,
/m/01rfps,Pharmacy,https://www.wikidata.org/entity/Q614304,http://vocab.getty.edu/page/aat/300054520,
