LabelName,DisplayName,wikidata,aat
/m/02393,Chaparral,https://www.wikidata.org/entity/Q842123,
/m/0239cb,Ac ace,,
/m/0239kh,Cowbell,https://www.wikidata.org/entity/Q1236988,
/m/023_rh,Dodge rampage,,
/m/023b8,Clipper (Boat),https://www.wikidata.org/entity/Q273081,http://vocab.getty.edu/page/aat/300219533
/m/023bbt,Wilderness,https://www.wikidata.org/entity/Q911871,http://vocab.getty.edu/page/aat/300132449
/m/023cbk,Cargo,https://www.wikidata.org/entity/Q319224,http://vocab.getty.edu/page/aat/300264210
/m/023fvs,Cricketer,,
/m/023g6j,Saab ev-1,,
/m/023gc2,Gayageum,https://www.wikidata.org/entity/Q717407,http://vocab.getty.edu/page/aat/300212168
/m/023hb6,Darts,https://www.wikidata.org/entity/Q131471,http://vocab.getty.edu/page/aat/300228654
/m/023j4r,Nail (Body part),,
/m/023kbx,Tandoor,https://www.wikidata.org/entity/Q379831,
/m/023kc8,Yakitori,https://www.wikidata.org/entity/Q483163,
/m/023kjl,Erotic literature,https://www.wikidata.org/entity/Q747483,
/m/023kp2,Paw,https://www.wikidata.org/entity/Q219588,
/m/023ls,Cola,https://www.wikidata.org/entity/Q134041,
/m/023mq,Cider,https://www.wikidata.org/entity/Q167296,
/m/023nrw,Navigator,,
/m/023pfw,Aluminium foil,https://www.wikidata.org/entity/Q447349,
/m/023pjk,Silverware,https://www.wikidata.org/entity/Q81944,http://vocab.getty.edu/page/aat/300199800
/m/023q15,Sloth bear,https://www.wikidata.org/entity/Q145016,
/m/023qc5,Somersault,https://www.wikidata.org/entity/Q767472,
/m/023qyz,Advent wreath,https://www.wikidata.org/entity/Q252829,http://vocab.getty.edu/page/aat/300391224
/m/023s_v,Usb flash drive,https://www.wikidata.org/entity/Q1647694,
/m/023t5p,Goal,https://www.wikidata.org/entity/Q4503831,
/m/023tkl,Abseiling,https://www.wikidata.org/entity/Q332231,
/m/023vk2,Referee,https://www.wikidata.org/entity/Q202648,
/m/023vxw,Marmot,https://www.wikidata.org/entity/Q131567,http://vocab.getty.edu/page/aat/300250608
/m/023vz1,Lockheed f-94 starfire,https://www.wikidata.org/entity/Q837405,
/m/023w12,Republic f-84 thunderjet,https://www.wikidata.org/entity/Q160853,
/m/023w27,Republic f-105 thunderchief,https://www.wikidata.org/entity/Q724763,
/m/023ws,Clavichord,https://www.wikidata.org/entity/Q191823,http://vocab.getty.edu/page/aat/300041675
/m/023zh4,Erhu,https://www.wikidata.org/entity/Q726306,http://vocab.getty.edu/page/aat/300214034
/m/02417f,Windscreen wiper,https://www.wikidata.org/entity/Q13692,
/m/0241s6,Opel kadett,,
/m/02422r,Futon,https://www.wikidata.org/entity/Q837593,
/m/024247,Bottled water,https://www.wikidata.org/entity/Q1049049,
/m/0242gd,Wagon,https://www.wikidata.org/entity/Q859281,http://vocab.getty.edu/page/aat/300219578
/m/0242l,Coin,https://www.wikidata.org/entity/Q41207,http://vocab.getty.edu/page/aat/300037222
/m/0243gp,Northern Praying Mantis (martial art),https://www.wikidata.org/entity/Q4451256,
/m/0243pg,Canis,https://www.wikidata.org/entity/Q149892,http://vocab.getty.edu/page/aat/300265714
/m/0244jz,Daf,https://www.wikidata.org/entity/Q11084057,
/m/0244lt,Shazam,https://www.wikidata.org/entity/Q445348,
