LabelName,DisplayName,wikidata,aat
/m/06pg33,Fairey delta 2,https://www.wikidata.org/entity/Q1393143,
/m/06ph11,Halušky,https://www.wikidata.org/entity/Q1575225,
/m/06ph50,Cannelloni,https://www.wikidata.org/entity/Q20010,
/m/06pj2k,Lip,,
/m/06pm1,Spinning,https://www.wikidata.org/entity/Q229949,
/m/06pp3t,Kite buggy,https://www.wikidata.org/entity/Q1002529,
/m/06ppnx,Creeping thistle,https://www.wikidata.org/entity/Q341600,
/m/06ppr2,Snow chains,https://www.wikidata.org/entity/Q747361,
/m/06pq2r,Dobermann,https://www.wikidata.org/entity/Q38358,
/m/06ps41,Parkia speciosa,,
/m/06pswb,Huggies pull-ups,https://www.wikidata.org/entity/Q13636802,
/m/06pyfy,Bunny chow,https://www.wikidata.org/entity/Q4997887,
/m/06pzv3,Rhinoceros beetle,https://www.wikidata.org/entity/Q641142,
/m/06q1l_,Entertainment center,https://www.wikidata.org/entity/Q5380479,
/m/06q2q,Scientist,https://www.wikidata.org/entity/Q901,http://vocab.getty.edu/page/aat/300025788
/m/06q3p9,Hyundai scoupe,,
/m/06q3sh,Hyundai stellar,,
/m/06q40,Smoke,https://www.wikidata.org/entity/Q130768,
/m/06q4_,Swiss cheese,https://www.wikidata.org/entity/Q7658926,
/m/06q4j,Tobacco pipe,https://www.wikidata.org/entity/Q104526,
/m/06q4l2,Hyundai dynasty,,
/m/06q4q4,Shutter,https://www.wikidata.org/entity/Q410962,
/m/06q545,Kimchi jjigae,https://www.wikidata.org/entity/Q701756,
/m/06q6vy,Vector w2,,
/m/06q74,Ship,https://www.wikidata.org/entity/Q11446,http://vocab.getty.edu/page/aat/300082981
/m/06q83,Software engineering,https://www.wikidata.org/entity/Q80993,
/m/06q8h1,Lens hood,https://www.wikidata.org/entity/Q1163650,http://vocab.getty.edu/page/aat/300022688
/m/06q_t_,Bun (Hairstyle),https://www.wikidata.org/entity/Q13377687,
/m/06qc5,Sound,https://www.wikidata.org/entity/Q11461,
