LabelName,DisplayName,wikidata
/m/0h8ntt3,Ironing board,
/m/0h8nttn,Saucepan,
/m/0h8nv1f,Birdhouse,
/m/0h8nv1y,Blood pressure monitor,
/m/0h8nv9l,Knife sharpener,
/m/0h8nvcj,Barware,
/m/0h8nvfb,Vacuum sealer,
/m/0h8nvh6,Coffee grinder,
/m/0h8nvhx,Electric kettle,
/m/0h8nvjt,Play yard,
/m/0h8nvk9,Dishware,
/m/0h8nyp3,Cd/dvd organizer,
/m/0h8nyrv,Automotive ignition part,
/m/0h8nz9n,Automotive care,
/m/0h8nzzj,Decor,
/m/0h8p48f,All Xbox Accessory,
/m/0h8p55j,Shipping box,
/m/0h8p55r,Address sign,
/m/0h8p58t,General supply,
/m/0h8p59j,Paper product,
/m/0h8p5l_,Religious item,
/m/0h8p5xc,Bicycle seatpost,
/m/0h8p66t,Desk organizer,
/m/0h8p6kg,Office tape,
/m/0h8p7_l,Automotive exhaust,
/m/0h8p7_y,Office ruler,
/m/0h8p7lt,Writing chalk,
/m/0h8p7y4,Label maker,
/m/0h8p808,Tire valve cap,
/m/0h8p9x8,Magnifier,
/m/0h8pb3l,Automotive tire,
/m/0h8q07j,Baby & toddler clothing,
/m/0h8xdq1,Wire fencing,
/m/0h90w5d,Art paint,
/m/0h91fqv,Audio,
/m/0h9637l,Anemone fish,https://www.wikidata.org/entity/Q472616
/m/0h980f3,Red russian,https://www.wikidata.org/entity/Q7304979
/m/0h989,Go,https://www.wikidata.org/entity/Q219221
/m/0h99c7s,Bathroom scale,
/m/0h99cwc,Kitchen appliance,
/m/0h9c,Astronomer,https://www.wikidata.org/entity/Q11063
/m/0h9h0,Damselfly,https://www.wikidata.org/entity/Q230502
/m/0h9mv,Tire,https://www.wikidata.org/entity/Q169545
/m/0h9q_,Triticale,https://www.wikidata.org/entity/Q380329
/m/0h9rv,Pika,https://www.wikidata.org/entity/Q184067
/m/0h9x38r,Honda crosstour,
/m/0h_m,Adventure,https://www.wikidata.org/entity/Q1436734
/m/0h_s3,Tomb,https://www.wikidata.org/entity/Q381885
/m/0hb95,Hobo,https://www.wikidata.org/entity/Q843281
/m/0hbfd,Kickflip,https://www.wikidata.org/entity/Q252986
/m/0hbj9,Hapkido,https://www.wikidata.org/entity/Q200333
/m/0hbm6,Saving,
/m/0hc3c,Canna lily,https://www.wikidata.org/entity/Q295881
/m/0hc4p,Infant formula,https://www.wikidata.org/entity/Q2287198
/m/0hcjm,Brake,https://www.wikidata.org/entity/Q1534839
/m/0hcr,Animation,
