LabelName,DisplayName,wikidata
/m/036p57,Perennial plant,https://www.wikidata.org/entity/Q157957
/m/036q70,Tartiflette,https://www.wikidata.org/entity/Q1759775
/m/036qfh,Mercury tracer,
/m/036qh8,Produce,https://www.wikidata.org/entity/Q1913301
/m/036tkz,Liuqin,https://www.wikidata.org/entity/Q3108592
/m/036tl_,Yangqin,https://www.wikidata.org/entity/Q877239
/m/036tyz,Zill,https://www.wikidata.org/entity/Q203449
/m/036vfg,Mazda familia,
/m/036vg6,Wrestling,https://www.wikidata.org/entity/Q42486
/m/036w4y,Flake,https://www.wikidata.org/entity/Q1426845
/m/036xn3,Cellular network,https://www.wikidata.org/entity/Q535695
/m/036zbt,Effects cymbal,https://www.wikidata.org/entity/Q5347295
/m/03706p,Mercedes-benz g-class,
/m/03715w,Wood sorrel,
/m/03717j,Proton tiara,
/m/0371pr,Toyota corolla,
/m/0371q5,Toyota camry,
/m/0372tf,Mazda 121,
/m/0372vm,Fiat palio,
/m/0372w1,Fiat siena,
/m/0372wh,Fiat duna,
/m/0373hf,Chokecherry,
/m/03744s,Creeping wood sorrel,https://www.wikidata.org/entity/Q162795
/m/0376ws,Everlasting sweet pea,https://www.wikidata.org/entity/Q158325
/m/0377zj,Enlarger,https://www.wikidata.org/entity/Q474642
/m/037821,Fiat tempra,
/m/037_v,Grizzly bear,https://www.wikidata.org/entity/Q171004
/m/037_vr,Microcassette,https://www.wikidata.org/entity/Q1509636
/m/037blm,Spitz,https://www.wikidata.org/entity/Q854787
/m/037cyw,Siding,https://www.wikidata.org/entity/Q15874788
/m/037dv0,Nsu ro 80,
/m/037hz,Golf,https://www.wikidata.org/entity/Q5377
/m/037jtq,Greater swiss mountain dog,https://www.wikidata.org/entity/Q38121
/m/037l4x,Ford torino talladega,
/m/037l9,Gladiator,https://www.wikidata.org/entity/Q482999
/m/037lls,Red curry,https://www.wikidata.org/entity/Q1721014
/m/037ls6,Coconut milk,https://www.wikidata.org/entity/Q841779
/m/037n0d,Northrop grumman e-10 mc2a,https://www.wikidata.org/entity/Q181112
/m/037n8g,Cavaquinho,https://www.wikidata.org/entity/Q1051805
/m/037n8x,Touring car,https://www.wikidata.org/entity/Q1402386
/m/037n9q,Komuz,https://www.wikidata.org/entity/Q645977
/m/037nx6,Street sweeper,
/m/037p5b,Cheek,
/m/037p63,Tandoori chicken,https://www.wikidata.org/entity/Q1057649
/m/037ptr,Visor,https://www.wikidata.org/entity/Q128418
/m/037q6r,Dodge charger daytona,
/m/037rpk,Hole punch,https://www.wikidata.org/entity/Q183413
/m/037rw,Gazpacho,https://www.wikidata.org/entity/Q202677
/m/037rzs,Headquarters,https://www.wikidata.org/entity/Q7540126
/m/037s3z,Fête de la musique,
/m/037slq,Wireworms,https://www.wikidata.org/entity/Q28457
/m/037tgn,Béchamel sauce,https://www.wikidata.org/entity/Q209974
/m/037tzr,Agave azul,https://www.wikidata.org/entity/Q311065
/m/037vk,Graphite,https://www.wikidata.org/entity/Q5309
/m/037vn2,Lemon beebrush,
/m/037vqc,Bouquet garni,https://www.wikidata.org/entity/Q895177
/m/037vsg,Prosciutto,https://www.wikidata.org/entity/Q1065033
/m/037w1w,Mustard oil,https://www.wikidata.org/entity/Q910958
/m/037wcy,Safflower,https://www.wikidata.org/entity/Q156625
/m/037xc2,Beagling,https://www.wikidata.org/entity/Q4876098
/m/037xy,Gas,https://www.wikidata.org/entity/Q11432
/m/037ynh,Bmw 8 series,
/m/037zsb,Tan,https://www.wikidata.org/entity/Q231416
/m/0381b9,Dodge dart,
/m/038264,Metaxa,https://www.wikidata.org/entity/Q753068
/m/03829r,Furikake,https://www.wikidata.org/entity/Q1044246
/m/0382r_,Porsche 804,
/m/0385_b,Mercedes-benz sl-class,
/m/0385k,Gymnast,
/m/0385kn,Nissan primera,
/m/0385np,Opel calibra,
/m/0385ph,Fiat punto,
/m/0385vl,Alfa romeo 147,
/m/03861l,Fiat cinquecento,
/m/038666,Peugeot 307,
/m/0386c_,Dance pad,https://www.wikidata.org/entity/Q1365323
/m/0386ld,Cooling tower,https://www.wikidata.org/entity/Q193886
/m/0386pw,Fiat bravo/brava,
/m/0386r1,Peugeot 206,
/m/03877,Game boy advance,https://www.wikidata.org/entity/Q188642
/m/03878x,Autobianchi y10,
/m/0387vs,Peugeot 407,
/m/0388_c,Japanese terrier,
/m/0388q,Grape,https://www.wikidata.org/entity/Q10978
/m/0388sn,Summit,https://www.wikidata.org/entity/Q207326
/m/038_80,Citroën xsara,
/m/038_l,Ghost,https://www.wikidata.org/entity/Q45529
/m/038cyj,Colby cheese,https://www.wikidata.org/entity/Q1056769
/m/038d28,Boerewors,https://www.wikidata.org/entity/Q890278
/m/038fws,Fiat dino,
/m/038g82,Giblets,https://www.wikidata.org/entity/Q913986
/m/038h7b,Rice wine,https://www.wikidata.org/entity/Q1142986
/m/038hg,Green,https://www.wikidata.org/entity/Q3133
/m/038jz,Glacier,https://www.wikidata.org/entity/Q35666
/m/038lvy,Apéritif,https://www.wikidata.org/entity/Q96755250
/m/038pb7,Tube top,https://www.wikidata.org/entity/Q14633326
/m/038qkl,Kopi luwak,https://www.wikidata.org/entity/Q213908
/m/038rd0,Exchange of vows,https://www.wikidata.org/entity/Q1771838
/m/038rz,German food,https://www.wikidata.org/entity/Q47629
/m/038s0_,Water filter,
/m/038sf,Greek food,https://www.wikidata.org/entity/Q744027
/m/038t8_,Estate,https://www.wikidata.org/entity/Q400001
/m/038tjy,Plymouth gin,https://www.wikidata.org/entity/Q7205807
/m/038wt3,French bulldog,https://www.wikidata.org/entity/Q29149
/m/038wvd,Toy bulldog,https://www.wikidata.org/entity/Q39145
/m/0391hg,Supercarrier,
/m/03928,Geocaching,https://www.wikidata.org/entity/Q14930
/m/03931h,Stele,https://www.wikidata.org/entity/Q178743
/m/0393qn,Phalène,https://www.wikidata.org/entity/Q39254
/m/0393sl,Đàn bầu,https://www.wikidata.org/entity/Q342244
/m/0394s2,Kai-lan,https://www.wikidata.org/entity/Q1677369
/m/0395lw,Bell,https://www.wikidata.org/entity/Q101401
/m/0395mr,Chevrolet omega,
/m/0396p,Gorilla,https://www.wikidata.org/entity/Q36611
/m/0397w,Gymnastics,https://www.wikidata.org/entity/Q43450
/m/03987v,Lexus is,
/m/039_hs,Royal yacht,https://www.wikidata.org/entity/Q2601071
/m/039_j3,Manor house,
/m/039_px,Bolete,https://www.wikidata.org/entity/Q1969349
/m/039_xx,Whole-wheat flour,https://www.wikidata.org/entity/Q13225835
/m/039b5,Galaxy,https://www.wikidata.org/entity/Q318
/m/039blp,Baked potato,https://www.wikidata.org/entity/Q1193251
/m/039c4j,Chaps,https://www.wikidata.org/entity/Q1062810
/m/039cny,North american t-6 texan,https://www.wikidata.org/entity/Q40021
/m/039cp,Grappling,https://www.wikidata.org/entity/Q906297
/m/039dsh,Lancia stratos,
/m/039g95,Polling place,https://www.wikidata.org/entity/Q335778
/m/039hvj,Nut (Fastener),https://www.wikidata.org/entity/Q1265417
/m/039j0x,Jigging,
/m/039j4m,Fishing lure,https://www.wikidata.org/entity/Q1197418
/m/039jbq,Urban area,
/m/039jl6,Spoon lure,https://www.wikidata.org/entity/Q394987
/m/039jpz,Casserole,https://www.wikidata.org/entity/Q6501890
/m/039jq,Glass,https://www.wikidata.org/entity/Q11469
/m/039jxp,Colander,https://www.wikidata.org/entity/Q1057060
/m/039l3v,Auditorium,https://www.wikidata.org/entity/Q230752
/m/039m_z,Portable toilet,https://www.wikidata.org/entity/Q629067
/m/039ndd,Setter,https://www.wikidata.org/entity/Q39640
/m/039nn_,Water dog,https://www.wikidata.org/entity/Q39437
/m/039nvr,Gunsmith,https://www.wikidata.org/entity/Q1371796
/m/039ny7,Gemcutter,
/m/039r5c,Cheesemaking,https://www.wikidata.org/entity/Q1281188
/m/039r6,General aviation,https://www.wikidata.org/entity/Q1571929
/m/039r61,Coppersmith,https://www.wikidata.org/entity/Q1551626
/m/039r_,Gliding,https://www.wikidata.org/entity/Q624161
/m/039rn7,Meat carving,https://www.wikidata.org/entity/Q350990
/m/039rzl,Irish setter,https://www.wikidata.org/entity/Q38761
/m/039s48,Irish red and white setter,https://www.wikidata.org/entity/Q38289
/m/039t96,Tea plant,https://www.wikidata.org/entity/Q101815
/m/039v1,Guitarist,https://www.wikidata.org/entity/Q855091
/m/039v41,Bouillabaisse,https://www.wikidata.org/entity/Q828043
/m/039w4l,Simca-talbot horizon,
/m/039w5w,Pocket watch,https://www.wikidata.org/entity/Q849813
