LabelName,DisplayName,wikidata
/m/041d65,Vovinam,https://www.wikidata.org/entity/Q1551693
/m/041fdh,Chonmage,https://www.wikidata.org/entity/Q137592
/m/041j_x,Grain whisky,https://www.wikidata.org/entity/Q1007164
/m/041kzs,Biceps curl,https://www.wikidata.org/entity/Q3073715
/m/041lfl,Bmw m6,
/m/041m0n,Pommes anna,https://www.wikidata.org/entity/Q1800458
/m/041mtg,Efini ms-8,
/m/041mw7,Mazda cronos,
/m/041n31,Autozam revue,
/m/041n5x,Autozam az-1,
/m/041n9h,Mazda az-offroad,
/m/041pbb,Memo,https://www.wikidata.org/entity/Q660651
/m/041q5g,Windsports,https://www.wikidata.org/entity/Q17131033
/m/041r19,Jacuzzi (Brand),https://www.wikidata.org/entity/Q1122179
/m/041rqm,Santa matilde,
/m/041st8,Karasumi,https://www.wikidata.org/entity/Q8222673
/m/041tkb,Berberis,https://www.wikidata.org/entity/Q158503
/m/041tpy,Mazda6,
/m/041tzx,Mazda persona,
/m/041v3r,May wine,https://www.wikidata.org/entity/Q933644
/m/041vj3,Bicycle lighting,https://www.wikidata.org/entity/Q2414049
/m/041wmv,Lamnidae,
/m/041x0c,Mazda sentia,
/m/041x_j,Restroom,https://www.wikidata.org/entity/Q813966
/m/041yv8,Lathyrus sativus,https://www.wikidata.org/entity/Q162093
/m/0420v5,Punching bag,https://www.wikidata.org/entity/Q966668
/m/04214mr,Dulcitar,https://www.wikidata.org/entity/Q5313363
/m/04218gt,Cocido madrileño,https://www.wikidata.org/entity/Q1105215
/m/0421h8,Suzuki swift,
/m/0421r3r,Green pufferfish,https://www.wikidata.org/entity/Q1031500
/m/0421rd6,Burn,https://www.wikidata.org/entity/Q170518
/m/04229,Jet engine,https://www.wikidata.org/entity/Q178777
/m/042297,Chevrolet sprint,
/m/04229l,Geo metro,
/m/0422m1,Bread and butter pudding,https://www.wikidata.org/entity/Q4959183
/m/0423gr,Deep fryer,https://www.wikidata.org/entity/Q153059
/m/0423lt,Seat altea,
/m/0424tt,Farofa,https://www.wikidata.org/entity/Q1397036
/m/0424v6,Seat 600,
/m/0425h3,Mazda titan,
/m/0425l8,Red velvet cake,https://www.wikidata.org/entity/Q1284887
/m/0425lm,Mazda3,
/m/042664,Common persimmon,https://www.wikidata.org/entity/Q158356
/m/042bzc,Talbot samba,
/m/042c75,Rover 400 / 45,
/m/042c8x,Rover 600 series,
/m/042cgf,Rover cityrover,
/m/042ck,Japanese cuisine,
/m/042fmw,Shinto shrine,https://www.wikidata.org/entity/Q845945
/m/042g2h,Old-growth forest,https://www.wikidata.org/entity/Q208478
/m/042g2v,Honda legend,
/m/042k1q,Rover sd1,
/m/042l_r,Pilotfish,https://www.wikidata.org/entity/Q55737614
/m/042lv8,Welsh onion,https://www.wikidata.org/entity/Q27938
/m/042n_j,Mercury lynx,
/m/042p46,Ilex vomitoria,https://www.wikidata.org/entity/Q1010694
/m/042pcv,Triumph toledo,
/m/042pdj,Triumph 1300,
/m/042rdg,Penuche,https://www.wikidata.org/entity/Q7165342
/m/042rdt,Maruti esteem,
/m/042rg5,Tata safari,
/m/042rtz,Mazda savanna,
/m/042rz,Jetsprint,https://www.wikidata.org/entity/Q6189172
/m/042spm,Whitebait,https://www.wikidata.org/entity/Q7995732
/m/042t48,Land rover 101 forward control,
/m/042v_gx,Acoustic guitar,https://www.wikidata.org/entity/Q31561
/m/042w40,Zhaleika,https://www.wikidata.org/entity/Q1437981
/m/042wcm,Quenelle,https://www.wikidata.org/entity/Q12958
/m/042x3v,Potter's wheel,https://www.wikidata.org/entity/Q1128390
/m/042xnr,Saveloy,https://www.wikidata.org/entity/Q10752808
/m/042yb1,Holacanthus,https://www.wikidata.org/entity/Q1342093
/m/0430rm,Volvo ycc,
/m/0431y2,Aero boero ab-95,https://www.wikidata.org/entity/Q381272
/m/0432dw,Navratri,https://www.wikidata.org/entity/Q10269
/m/0432rz,Anklet,https://www.wikidata.org/entity/Q1478508
